"","pop","order","latitude","longitude","cols","shape","site_name"
"1","TX",1,28.0841,-97.2009,"#3e4989",21,"W1_TX"
"2","LA",2,29.24916667,-90.9211111,"#31688e",21,"W2_LA"
"3","FL",3,30.44116,-81.43908,"#35b779",21,"W3_FL"
"4","VA",4,37.211,-76.787,"#6ece58",21,"W4_VA"
"5","DEBY",5,37.9803,-76.4619,"#440154",23,"S1_LOLA"
"6","LOLA",6,37.247284,-76.499369,"#482878",23,"S2_DEBY"
"7","NH",7,43.0524,-70.91181,"#fde725",21,"W5_NH"
"8","ME",8,43.986,-69.55,"#b5de2b",21,"W6_ME"
"9","LEWISETTA",9,37.9803,-76.4619,"slateblue1",24,"LEWISETTA"
"10","YORKRIVER",10,37.247284,-76.499369,"slateblue1",24,"YORKRIVER"
