"","site2","order2","site1","order1","dist"
"1","Lewisetta",9,"W5_NH",7,3.8214
"2","Lewisetta",9,"W4_VA",4,0.7537
"3","Lewisetta",9,"W6_ME",8,4.4362
"4","Lewisetta",9,"S2_DEBY",6,4.4648
"5","Lewisetta",9,"Lewisetta",9,0
"6","Lewisetta",9,"W3_FL",3,4.6269
"7","Lewisetta",9,"W2_LA",2,2.3424
"8","Lewisetta",9,"YorkRiver",10,4.7815
"9","Lewisetta",9,"W1_TX",1,3.7783
"10","Lewisetta",9,"S1_LOLA",5,0.2657
"11","S1_LOLA",5,"YorkRiver",10,4.8021
"12","S1_LOLA",5,"W6_ME",8,4.3961
"13","S1_LOLA",5,"Lewisetta",9,0.2657
"14","S1_LOLA",5,"W2_LA",2,2.5509
"15","S1_LOLA",5,"W5_NH",7,3.783
"16","S1_LOLA",5,"S2_DEBY",6,4.4819
"17","S1_LOLA",5,"W3_FL",3,4.7707
"18","S1_LOLA",5,"W1_TX",1,3.9173
"19","S1_LOLA",5,"S1_LOLA",5,0
"20","S1_LOLA",5,"W4_VA",4,0.8384
"21","S2_DEBY",6,"S2_DEBY",6,0
"22","S2_DEBY",6,"Lewisetta",9,4.4648
"23","S2_DEBY",6,"W3_FL",3,5.3816
"24","S2_DEBY",6,"W1_TX",1,5.2283
"25","S2_DEBY",6,"W5_NH",7,4.7209
"26","S2_DEBY",6,"W4_VA",4,4.2125
"27","S2_DEBY",6,"W6_ME",8,5.5694
"28","S2_DEBY",6,"S1_LOLA",5,4.4819
"29","S2_DEBY",6,"W2_LA",2,5.0101
"30","S2_DEBY",6,"YorkRiver",10,0.9337
"31","W1_TX",1,"W5_NH",7,3.8854
"32","W1_TX",1,"S1_LOLA",5,3.9173
"33","W1_TX",1,"W2_LA",2,2.6894
"34","W1_TX",1,"W4_VA",4,3.4374
"35","W1_TX",1,"W1_TX",1,0
"36","W1_TX",1,"S2_DEBY",6,5.2283
"37","W1_TX",1,"Lewisetta",9,3.7783
"38","W1_TX",1,"W6_ME",8,5.1477
"39","W1_TX",1,"YorkRiver",10,5.3948
"40","W1_TX",1,"W3_FL",3,2.5345
"41","W2_LA",2,"W3_FL",3,4.0819
"42","W2_LA",2,"W5_NH",7,4.3063
"43","W2_LA",2,"W4_VA",4,2.4123
"44","W2_LA",2,"S1_LOLA",5,2.5509
"45","W2_LA",2,"W1_TX",1,2.6894
"46","W2_LA",2,"W2_LA",2,0
"47","W2_LA",2,"Lewisetta",9,2.3424
"48","W2_LA",2,"YorkRiver",10,5.2205
"49","W2_LA",2,"W6_ME",8,5.3233
"50","W2_LA",2,"S2_DEBY",6,5.0101
"51","W3_FL",3,"W4_VA",4,4.0765
"52","W3_FL",3,"S2_DEBY",6,5.3816
"53","W3_FL",3,"YorkRiver",10,5.5298
"54","W3_FL",3,"W1_TX",1,2.5345
"55","W3_FL",3,"W6_ME",8,4.789
"56","W3_FL",3,"W2_LA",2,4.0819
"57","W3_FL",3,"W3_FL",3,0
"58","W3_FL",3,"S1_LOLA",5,4.7707
"59","W3_FL",3,"Lewisetta",9,4.6269
"60","W3_FL",3,"W5_NH",7,4.3236
"61","W4_VA",4,"W3_FL",3,4.0765
"62","W4_VA",4,"S1_LOLA",5,0.8384
"63","W4_VA",4,"W6_ME",8,4.0698
"64","W4_VA",4,"Lewisetta",9,0.7537
"65","W4_VA",4,"W5_NH",7,3.2294
"66","W4_VA",4,"W4_VA",4,0
"67","W4_VA",4,"W2_LA",2,2.4123
"68","W4_VA",4,"YorkRiver",10,4.4551
"69","W4_VA",4,"W1_TX",1,3.4374
"70","W4_VA",4,"S2_DEBY",6,4.2125
"71","W5_NH",7,"W2_LA",2,4.3063
"72","W5_NH",7,"W4_VA",4,3.2294
"73","W5_NH",7,"W5_NH",7,0
"74","W5_NH",7,"W3_FL",3,4.3236
"75","W5_NH",7,"YorkRiver",10,4.5039
"76","W5_NH",7,"W6_ME",8,4.4277
"77","W5_NH",7,"S2_DEBY",6,4.7209
"78","W5_NH",7,"S1_LOLA",5,3.783
"79","W5_NH",7,"Lewisetta",9,3.8214
"80","W5_NH",7,"W1_TX",1,3.8854
"81","W6_ME",8,"W3_FL",3,4.789
"82","W6_ME",8,"S1_LOLA",5,4.3961
"83","W6_ME",8,"S2_DEBY",6,5.5694
"84","W6_ME",8,"Lewisetta",9,4.4362
"85","W6_ME",8,"YorkRiver",10,5.5679
"86","W6_ME",8,"W5_NH",7,4.4277
"87","W6_ME",8,"W1_TX",1,5.1477
"88","W6_ME",8,"W6_ME",8,0
"89","W6_ME",8,"W4_VA",4,4.0698
"90","W6_ME",8,"W2_LA",2,5.3233
"91","YorkRiver",10,"W3_FL",3,5.5298
"92","YorkRiver",10,"S2_DEBY",6,0.9337
"93","YorkRiver",10,"S1_LOLA",5,4.8021
"94","YorkRiver",10,"W1_TX",1,5.3948
"95","YorkRiver",10,"W4_VA",4,4.4551
"96","YorkRiver",10,"W2_LA",2,5.2205
"97","YorkRiver",10,"W6_ME",8,5.5679
"98","YorkRiver",10,"W5_NH",7,4.5039
"99","YorkRiver",10,"Lewisetta",9,4.7815
"100","YorkRiver",10,"YorkRiver",10,0
